day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,21,4,23,21,33,31,28,21,22,19,18,11,6,13,13,10,3,7,5,6,29,22,23,17,30,43,15,5,22,19,27,24,25,26,23,28,22,23,27,22,24,13,16,24,10,19,21,35,25,17,27,11,21,21,23,24,19,104,5,10,9,16,9,21,27,13,14,8,27,3,16,12,9,13,18,15,4,8,10,10,10,11,14,11,12,12,14,11,7,9,11,7,2,9,4,17,5,3,8,5,12,10,12,15,11,15,11,11,8,11,18,19,17,19,10,16,22,14,14,11,18,8,17,18,20,8,12,14,17,21,23,32,25,22,9,9,15,19,8,16,13,19,23,110,44,103,35,104,31,31,92
3,19,11,26,30,38,23,26,16,32,30,17,16,10,24,16,10,8,9,13,10,39,32,24,26,30,52,21,7,34,31,36,31,25,23,36,30,20,26,19,23,26,27,21,15,23,32,19,33,26,31,33,20,25,28,15,29,18,132,16,14,15,21,14,22,27,9,12,18,33,9,18,9,13,19,22,14,4,16,6,16,17,21,20,7,18,9,14,11,9,14,19,16,6,12,3,16,5,4,21,9,16,16,22,18,18,16,25,22,13,18,13,12,24,12,13,20,25,20,11,17,21,18,19,15,18,7,13,23,19,33,33,27,32,27,32,15,12,35,13,15,13,18,23,114,30,107,40,103,33,40,107
7,16,17,23,52,18,23,14,15,25,21,18,11,11,11,10,11,9,8,7,7,24,18,22,22,21,23,22,17,22,22,16,29,22,9,24,11,19,17,16,8,18,9,18,13,9,15,16,27,15,13,25,18,16,11,12,19,17,94,11,9,14,18,8,13,17,10,15,10,27,2,10,9,10,2,12,13,6,8,1,7,13,11,6,7,5,14,12,11,11,10,13,13,2,11,4,5,2,3,9,7,13,12,14,14,10,7,10,11,14,11,12,16,2,10,13,9,17,13,8,15,11,8,6,11,12,12,8,18,21,21,28,22,31,21,14,10,18,15,15,16,17,19,10,70,15,93,26,70,29,53,96
10,28,32,27,44,45,34,16,26,38,29,35,12,15,25,21,19,14,12,30,14,47,40,25,43,33,30,29,18,31,33,42,28,34,35,35,13,22,14,21,29,37,26,38,20,19,29,24,45,31,24,31,17,26,28,34,31,25,153,22,20,15,25,24,28,35,22,16,15,40,5,11,14,13,11,24,34,6,14,10,10,9,18,23,16,15,8,11,13,21,18,16,19,12,13,7,14,1,7,14,13,14,19,19,17,18,25,29,17,20,19,25,10,4,10,20,13,17,29,20,16,20,14,17,17,20,10,20,28,39,30,22,17,35,28,33,13,22,29,15,14,27,22,20,130,37,119,21,98,24,51,130
14,19,18,40,22,15,23,22,15,14,21,16,7,14,9,16,12,5,5,12,12,36,32,22,15,31,21,17,16,22,19,19,24,22,27,23,28,18,12,14,32,16,24,24,6,11,18,18,29,14,16,21,19,17,15,19,20,14,80,10,13,17,23,12,9,24,7,7,14,29,8,17,5,8,9,19,15,4,15,6,6,10,17,14,15,7,5,16,9,9,10,16,13,4,13,2,16,3,1,8,14,7,10,9,11,23,13,32,18,7,13,17,13,14,18,11,15,17,9,12,11,15,10,18,8,7,10,13,9,20,15,26,20,33,23,15,12,18,16,12,14,10,15,16,83,31,77,30,92,37,36,85
17,38,40,39,26,15,29,22,26,31,32,31,30,15,13,33,17,16,22,19,20,43,35,32,31,34,26,37,29,37,28,34,31,25,28,35,30,21,14,22,20,21,14,23,22,27,28,20,51,25,27,36,20,19,6,17,28,21,143,18,18,25,31,25,19,28,13,18,18,32,18,18,13,8,10,18,22,4,10,12,13,14,15,18,17,13,13,12,17,10,16,11,15,6,12,4,17,7,10,10,15,8,16,22,20,22,16,32,14,24,20,20,27,15,17,4,21,16,8,16,15,15,15,16,16,29,12,13,22,33,30,26,15,35,41,28,25,21,26,17,15,20,13,24,96,38,93,27,113,39,23,110
21,17,19,26,10,25,19,17,7,28,15,16,4,9,6,7,10,10,0,9,6,27,38,17,23,15,11,29,14,45,14,18,24,29,35,20,25,33,23,22,16,33,16,16,20,9,13,15,42,15,15,22,14,12,21,12,13,21,85,12,6,9,16,13,22,25,17,13,10,31,12,12,9,9,14,12,15,1,12,8,16,11,15,10,16,9,16,14,14,13,11,12,12,3,9,1,13,6,5,10,14,11,10,11,16,15,15,12,11,11,19,17,9,20,17,20,16,13,12,13,27,11,6,14,15,16,15,19,16,15,24,17,15,14,22,23,7,10,20,12,17,9,16,13,79,26,71,24,129,27,37,70
24,19,27,31,44,31,35,17,19,50,32,27,25,29,25,24,16,19,20,12,20,24,50,33,34,35,31,39,24,72,36,33,38,30,25,21,32,42,29,35,26,51,29,21,25,13,8,20,53,21,26,36,30,24,26,34,20,20,153,23,14,11,37,34,13,35,20,14,26,44,19,12,7,27,21,18,19,6,12,12,19,16,16,5,12,15,15,14,19,15,22,24,18,4,14,6,25,6,1,14,12,23,12,20,23,20,21,18,28,23,20,18,20,24,20,15,18,17,28,21,31,19,26,13,22,23,20,26,18,31,30,9,19,28,44,41,21,18,25,23,20,31,17,18,131,39,109,44,172,49,38,119
28,24,9,23,19,23,22,25,31,24,20,21,5,11,8,11,7,13,6,5,7,28,16,23,20,20,18,11,25,16,15,16,17,20,16,25,28,19,18,15,9,10,11,13,13,6,18,22,26,23,14,21,13,18,11,11,15,15,70,13,9,9,17,11,12,16,5,13,11,20,15,8,10,8,13,19,15,2,10,11,9,18,5,7,7,11,7,12,21,13,6,9,10,1,10,3,9,3,1,3,9,7,13,15,25,10,9,11,9,14,9,11,12,10,12,12,16,17,12,7,10,16,14,12,10,13,6,10,12,21,23,20,24,22,14,26,6,4,32,12,8,9,13,9,97,39,86,36,91,22,26,82
31,29,23,42,29,32,26,25,33,20,26,29,14,17,11,23,11,5,15,14,17,44,32,38,35,38,27,32,23,28,25,26,29,23,34,48,19,23,36,23,20,26,25,16,25,18,29,25,43,38,24,38,24,26,27,24,27,22,119,21,10,18,23,10,16,30,19,7,19,46,10,10,17,12,34,21,21,6,17,15,15,12,16,12,11,17,12,17,24,8,17,17,13,2,15,5,21,8,3,14,13,11,13,15,25,15,14,23,14,12,24,22,18,16,12,17,17,17,10,22,15,18,15,10,22,14,8,23,17,35,35,26,39,24,31,32,6,9,21,21,17,25,17,21,108,51,93,15,95,29,39,122
35,24,19,19,17,18,26,17,19,39,13,21,19,13,13,11,16,12,13,10,29,24,49,23,44,27,20,19,16,22,21,29,23,34,18,20,23,11,16,17,20,23,15,14,5,13,22,42,26,13,12,17,20,21,20,17,18,13,94,17,15,14,10,11,15,18,7,8,11,30,12,11,7,12,7,10,17,0,9,6,5,12,20,9,13,7,15,9,17,7,12,8,13,1,26,2,18,4,4,2,17,9,14,11,16,10,19,17,9,16,20,16,8,8,10,17,13,15,18,11,18,13,9,10,8,11,11,11,18,38,25,21,18,27,25,16,12,17,28,9,12,23,18,11,98,43,105,26,103,27,28,83
38,36,29,40,39,36,43,27,20,57,29,32,22,12,17,13,20,16,13,14,36,49,67,40,68,42,36,38,28,33,27,33,35,66,39,41,42,39,25,33,27,37,31,33,24,31,26,47,74,26,30,43,17,24,37,25,43,23,153,27,34,21,22,26,35,45,14,13,19,38,17,19,21,24,28,20,21,5,21,9,19,26,9,20,11,20,27,6,23,23,13,23,17,4,26,4,25,9,4,12,14,23,25,27,20,19,21,20,18,23,21,16,15,22,32,24,20,22,19,21,16,20,16,16,24,26,29,12,24,36,30,37,17,34,38,33,26,28,28,25,17,19,27,29,125,20,129,39,128,36,34,134
42,8,26,11,16,6,13,21,20,20,32,23,8,1,6,10,3,7,9,12,4,40,14,20,25,18,30,14,16,28,24,15,12,15,15,16,12,14,18,21,13,8,16,15,15,5,11,12,30,19,8,19,10,24,8,15,13,14,76,4,9,9,18,5,10,26,11,7,7,30,6,15,11,7,11,12,6,1,17,3,13,8,5,10,9,14,11,10,11,12,12,10,8,2,11,2,14,1,3,12,8,6,17,11,16,9,15,8,8,11,9,12,9,6,14,27,11,10,7,19,13,10,11,15,7,7,6,7,5,16,31,22,21,27,22,6,16,11,27,9,23,8,12,13,100,34,95,33,92,36,31,99
