day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,21,22,24,31,27,27,24,23,27,22,22,15,8,13,15,4,10,10,6,7,31,22,31,23,21,33,26,21,25,19,22,25,22,32,23,12,22,17,19,20,16,17,19,16,10,22,23,29,21,13,30,14,21,23,15,20,14,111,10,12,8,15,7,16,21,19,14,7,36,8,14,21,11,13,12,17,0,8,6,16,12,11,13,11,8,14,12,16,8,13,13,12,2,12,3,12,7,3,13,8,12,10,11,11,4,14,15,13,13,11,10,14,15,16,12,15,16,12,13,9,11,6,11,16,14,3,18,26,24,24,20,35,24,20,17,18,14,20,11,15,23,18,19,93,40,112,30,125,31,40,93
3,36,30,29,41,29,43,25,37,22,35,32,14,18,18,17,18,19,13,11,19,31,34,35,29,41,30,39,35,34,36,35,39,36,29,37,15,29,20,44,23,23,23,20,21,15,23,17,47,29,24,14,22,31,23,30,25,24,129,13,28,17,30,14,29,36,20,13,14,21,14,15,16,16,20,10,9,6,18,8,10,10,14,25,10,18,13,11,9,15,14,15,17,4,17,3,13,7,3,11,10,13,9,20,13,17,15,14,20,17,17,25,15,18,11,18,16,15,20,27,17,18,19,13,19,14,20,16,14,26,34,24,42,39,45,38,20,17,38,12,21,25,17,11,91,41,103,48,132,61,25,170
7,28,27,19,25,34,34,22,22,24,32,21,11,9,13,11,11,13,12,20,7,17,27,27,30,36,24,22,21,27,32,30,32,24,23,28,20,15,15,31,20,12,13,25,19,12,19,17,24,18,27,22,29,19,17,16,12,11,93,16,13,17,15,5,27,35,7,12,12,29,10,10,15,10,12,9,9,3,13,8,10,7,13,10,15,11,17,10,8,10,8,12,9,3,13,5,16,3,4,23,12,14,15,12,16,11,8,12,27,17,15,15,14,11,18,16,14,13,15,17,16,19,14,18,15,13,15,13,14,23,25,24,34,19,26,20,17,19,28,20,19,21,13,18,106,24,109,38,98,38,30,97
10,31,29,34,31,45,33,24,22,30,27,26,14,17,20,22,17,11,14,18,15,38,33,19,35,28,34,29,23,37,30,36,19,31,32,35,14,19,22,25,22,24,29,33,21,18,32,21,57,25,19,33,25,21,23,25,31,42,149,25,19,18,26,26,35,33,23,13,16,35,10,13,8,17,11,22,31,5,16,8,13,11,20,16,14,11,9,12,17,17,18,11,13,5,19,6,20,2,7,14,13,14,14,18,12,22,18,27,25,21,19,21,17,15,10,18,10,16,18,18,16,19,17,17,18,15,11,18,7,36,27,14,18,23,24,36,14,18,30,11,13,24,20,19,123,34,110,32,93,20,29,115
14,20,20,44,26,19,29,23,18,17,26,18,7,14,12,19,12,8,6,14,12,39,33,24,16,32,22,19,16,22,22,23,26,23,27,25,29,21,13,17,33,19,28,24,8,13,19,20,35,15,22,23,21,20,16,23,23,15,86,11,14,17,26,15,10,27,8,7,14,34,9,20,5,9,9,20,19,4,19,8,8,11,17,14,16,8,5,16,12,10,10,16,15,4,13,3,16,3,1,8,14,7,11,10,12,26,15,38,18,7,15,19,14,14,20,12,16,19,11,14,11,15,10,21,9,8,11,14,10,23,19,27,21,36,31,17,14,19,19,13,16,13,18,18,88,32,84,30,95,39,38,93
17,35,38,38,26,14,25,21,25,27,31,29,28,13,12,30,17,14,19,18,18,41,29,28,29,33,26,33,29,34,27,33,31,24,26,32,29,20,13,21,19,21,14,20,21,27,26,18,47,24,24,35,15,14,5,17,26,21,140,17,18,22,30,19,17,26,13,18,18,32,17,18,13,7,10,18,18,4,10,11,12,13,15,17,17,13,11,12,17,10,15,9,15,6,12,4,16,6,9,9,14,7,15,21,20,20,16,29,13,22,19,18,25,14,17,4,19,15,5,15,14,15,14,16,13,26,11,13,20,27,29,24,13,35,39,27,24,19,23,16,15,20,12,20,92,37,87,26,110,38,23,106
21,20,21,27,10,26,23,18,8,32,16,18,6,11,7,10,10,12,3,10,8,29,44,21,25,16,11,33,14,48,15,19,24,30,37,23,26,34,24,23,17,33,16,19,21,9,15,17,46,16,18,23,19,17,22,12,15,21,88,13,6,12,17,19,24,27,17,13,10,31,13,12,9,10,14,12,19,1,12,9,17,12,15,11,16,9,18,14,14,13,12,14,12,3,9,1,14,7,6,11,15,12,11,12,16,17,15,15,12,13,20,19,11,21,17,20,18,14,15,14,28,11,7,14,18,19,16,19,18,21,25,19,17,14,24,24,8,12,23,13,17,9,17,17,83,27,77,25,132,28,37,74
24,19,27,31,41,29,31,16,19,48,28,25,25,29,24,21,15,18,18,12,19,24,47,30,31,32,29,37,23,71,34,32,34,25,23,21,31,42,29,31,24,51,27,19,23,13,5,18,49,18,25,35,29,23,25,31,18,18,144,23,14,11,36,34,13,32,17,14,24,39,17,9,7,25,19,14,19,6,11,11,16,14,15,4,11,12,14,14,16,13,21,23,18,4,14,6,23,5,1,12,11,21,9,17,18,20,19,16,26,22,19,18,20,22,19,14,15,15,27,19,30,18,24,13,20,22,18,23,15,29,23,7,18,28,43,38,18,16,24,22,19,30,16,17,116,35,101,42,156,42,35,104
28,26,9,23,21,26,30,27,30,26,23,24,5,12,13,13,10,13,7,4,8,28,18,23,21,24,25,14,24,18,15,18,20,27,18,28,31,18,20,20,12,10,15,15,15,6,20,24,31,25,15,22,14,19,12,19,14,15,83,11,9,10,18,10,13,21,7,13,13,26,18,13,9,9,16,23,17,2,11,12,10,20,6,9,8,16,8,13,24,15,7,10,9,1,9,3,14,4,1,4,11,10,16,19,30,12,14,14,9,16,10,12,10,14,14,12,17,19,14,9,13,20,16,12,12,13,10,10,15,23,30,22,25,22,18,30,9,8,27,13,11,10,14,10,114,40,95,38,107,29,28,93
31,26,26,33,30,25,37,24,38,40,26,24,19,11,15,19,21,7,15,16,13,29,33,19,19,28,37,25,20,35,36,30,25,23,32,25,28,14,27,26,21,21,23,22,19,16,23,20,31,30,21,33,14,16,28,25,31,19,126,14,12,12,20,12,23,26,11,11,13,31,13,21,12,15,21,9,10,4,14,8,15,10,17,21,9,18,15,21,11,19,11,13,7,4,14,4,22,4,2,7,10,13,8,11,19,16,27,16,10,22,18,20,18,11,12,14,16,22,13,22,17,19,23,9,13,13,15,18,15,28,33,30,21,31,31,29,14,16,16,13,16,16,13,27,102,59,132,32,120,36,39,108
