day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,2,1,4,2,5,1,1,3,4,15,0,2,0,0,1,0,0,0,0,1,3,2,3,1,8,0,1,0,2,1,4,5,3,0,3,3,2,1,3,1,1,3,2,1,0,3,1,22,0,1,1,2,4,0,4,1,0,12,2,1,3,0,0,3,14,1,0,3,16,3,0,1,1,1,2,0,0,2,6,2,2,5,1,0,0,0,0,2,2,1,3,1,0,2,1,0,1,1,3,1,0,3,3,3,1,0,1,2,0,1,3,2,1,0,0,0,0,2,1,0,0,0,2,1,3,2,2,3,2,0,2,2,2,3,3,0,1,1,1,2,5,0,0,16,1,8,5,10,2,4,9
3,-3,0,-6,15,-6,-1,-1,-3,-4,-16,1,-4,0,14,-1,0,0,-1,0,-2,-3,-3,-4,14,-8,-2,-1,0,-2,-4,-7,12,-3,-1,12,-2,-2,-1,-3,-2,-1,-1,-3,-1,0,-4,-24,11,-2,-2,-2,-2,-5,-1,0,-3,21,-23,-2,-1,-3,0,1,-4,24,-1,-1,-2,22,-1,-2,0,-2,-1,-1,-1,0,-1,2,-16,-2,-5,-1,12,-3,0,0,-2,-2,-1,-3,-4,0,-1,-1,1,-1,-1,-5,-1,-1,-2,-1,-1,2,7,1,13,5,1,-4,-3,-4,0,5,0,-2,-4,0,5,0,6,-3,0,-3,9,1,-3,23,3,-3,-2,-2,15,28,-1,-1,4,5,-2,-5,1,0,-12,-2,-9,-6,-9,-4,-5,-13
7,3,2,3,-14,3,1,2,1,3,3,3,23,-18,4,1,2,2,3,0,2,6,2,6,3,7,4,2,2,3,5,27,-12,1,4,-8,0,0,0,-27,3,4,0,32,3,1,2,-21,19,3,-23,2,4,4,1,1,6,-19,22,3,1,0,1,3,4,0,1,3,2,21,1,3,0,1,2,2,3,0,1,0,5,4,3,-14,-11,-13,1,1,0,4,3,2,9,2,0,0,-17,0,1,4,-13,1,2,4,0,6,-3,7,1,8,10,11,8,3,-1,19,2,2,11,17,5,1,22,2,7,1,13,8,3,32,10,5,7,8,22,16,3,10,13,12,18,14,1,1,10,3,12,3,8,4,8,19
10,-26,-2,-1,-4,-3,-3,-2,-2,-3,-5,-3,-21,19,-3,23,-25,-2,15,22,-1,-5,-2,-5,-1,-6,-2,19,-1,-3,-4,-25,-2,0,-3,17,-1,-1,-1,-29,-2,-5,0,-29,-2,-1,0,-2,22,-2,-5,0,-4,-4,-1,-3,-6,-3,-11,-3,-1,0,0,-4,-3,16,-1,-2,-1,16,-1,-3,0,0,-2,-22,-4,0,-1,5,-3,-4,-3,-20,-2,-1,-1,-1,0,-4,-2,-2,-6,-2,0,0,-17,0,-1,-2,-19,0,-2,1,0,24,19,-4,2,-2,1,-4,4,0,0,3,21,0,-2,4,1,-1,38,6,5,-1,0,1,-3,8,4,0,7,-1,19,15,1,0,10,-2,0,-4,-1,1,-12,-2,-11,-2,-8,-2,-6,-14
14,28,2,2,3,2,2,1,4,5,6,4,4,1,3,1,0,13,-2,-19,4,5,2,2,1,4,1,-17,1,0,6,4,30,2,28,2,1,3,2,3,0,1,0,2,0,1,0,4,18,2,-50,2,3,3,1,3,2,1,11,3,0,0,1,3,1,16,1,2,1,16,3,3,2,0,1,-18,2,0,1,5,2,2,2,4,4,-33,1,1,0,1,1,1,0,0,1,0,1,0,0,3,1,0,2,10,-13,4,-19,1,6,9,6,8,10,0,0,1,-4,-18,1,7,8,-18,0,-13,8,8,0,1,-17,21,17,3,21,7,20,26,10,-19,33,11,0,1,-17,2,15,5,14,3,14,6,3,12
17,-5,-1,-3,-1,0,0,61,-4,-2,-4,-3,-4,-1,-1,-1,-48,-1,-3,-2,-1,-4,-2,-3,-1,27,0,-4,-1,0,-5,29,-2,-2,-28,-2,-1,-3,-2,-2,0,0,0,-2,0,-1,0,-4,24,-1,-2,-2,-6,-4,-1,-1,-1,0,-9,-1,0,-1,-1,-6,-2,12,-1,-2,0,16,-2,-1,-2,7,0,-2,0,0,-1,4,0,-1,-2,-5,-3,0,1,0,0,-1,-1,-2,0,0,-1,0,-2,0,-1,-3,-1,-1,-2,4,-19,-3,-15,-2,-1,7,4,-3,2,0,0,0,0,-20,-2,6,5,-14,-15,-20,11,3,6,4,-21,23,12,-4,15,-4,19,23,5,-1,12,1,0,2,-1,-1,-15,-5,-13,-2,-12,-5,-2,-10
21,2,36,5,4,3,71,1,19,4,2,1,2,22,12,3,0,27,29,4,26,0,41,6,104,2,74,6,1,45,4,5,71,1,6,1,5,7,6,2,3,2,1,2,0,3,0,3,35,3,1,3,6,4,5,7,3,1,9,0,1,1,2,6,1,20,1,0,3,25,3,2,2,6,5,1,0,1,1,2,0,1,1,1,2,5,3,3,1,1,4,4,3,0,1,1,2,0,1,1,1,4,2,6,6,5,9,5,10,6,6,4,2,11,4,1,6,5,6,12,5,8,-12,6,8,3,9,7,4,46,-6,6,23,4,11,51,6,1,20,10,10,2,12,1,11,3,17,8,14,4,5,12
24,-1,-1,-4,-6,-3,-38,-32,-3,-4,-2,-2,-2,-3,-3,-4,-1,0,0,1,0,0,-7,101,-36,-4,-41,-5,104,-10,-5,-40,-36,-5,-6,-1,-3,-6,-5,-4,-5,-2,-1,-2,0,-3,-3,-5,22,-5,-1,-4,-2,-3,-5,-10,-2,-3,-14,0,-1,0,-2,-2,0,12,-2,0,-5,-18,-3,-5,8,-4,-4,-1,0,-1,-2,6,0,-2,0,0,-2,9,-3,-3,-2,-1,-5,-4,-3,0,4,-1,-1,0,2,0,-1,-3,-3,2,0,-3,-1,-3,2,-6,-4,-2,0,-4,-4,-1,-5,-1,-5,1,-2,-3,8,-1,-1,-2,-2,-4,-2,17,-4,-1,15,4,11,-21,2,-1,4,-1,-2,3,-6,5,-11,-5,-18,-9,-21,-8,-4,-15
28,16,1,4,5,1,2,-89,130,1,6,8,21,10,16,25,4,22,28,35,26,3,2,-32,-29,4,4,4,-33,2,14,-69,-67,6,4,5,0,1,3,3,3,2,1,2,2,1,5,6,17,5,4,2,0,3,2,4,2,4,20,3,0,2,1,1,1,10,4,1,2,18,1,4,6,3,4,3,0,0,2,6,1,1,1,0,4,2,6,1,3,1,2,2,2,0,6,2,0,2,5,9,2,0,3,7,1,10,4,5,4,6,1,12,6,1,5,3,12,10,3,7,1,4,5,8,6,2,15,4,15,32,6,1,22,19,17,16,11,7,21,8,5,1,6,13,16,10,17,1,20,6,10,274
31,-5,-1,-4,-5,-3,-106,-6,-7,0,-6,-8,-3,-1,0,-3,-2,-1,0,-1,-2,-5,-3,-110,-113,-2,-108,-4,-2,-1,-5,0,-5,-2,-4,-7,0,-1,-4,0,-2,-2,1,-2,-2,-1,-2,-5,18,-5,-3,-3,-1,-3,-2,-2,-1,-4,-19,-5,1,-4,-1,-2,-2,14,-3,-1,-2,16,0,-2,1,1,-7,0,0,0,2,6,-1,0,-2,0,6,2,4,-2,-1,0,-2,-2,-2,2,2,1,0,-1,3,6,3,0,-2,4,-1,7,1,8,3,6,7,5,3,3,6,5,-1,-4,3,-4,6,4,2,7,4,3,10,-3,-7,16,-40,0,0,-32,60,9,-1,12,-37,0,1,-1,0,-1,-15,-9,-17,0,-11,-2,-10,-17
35,28,11,1,5,7,4,21,-119,3,16,13,24,6,28,25,30,34,23,29,15,3,10,4,7,3,4,20,-110,0,27,1,4,6,22,2,1,1,3,1,3,1,3,5,2,1,3,10,16,5,5,7,1,4,4,2,6,3,11,5,16,4,1,1,3,14,0,7,2,15,0,6,4,4,6,1,2,2,5,5,2,0,4,2,3,7,2,1,2,3,2,2,1,3,2,1,3,1,4,9,0,2,3,11,1,12,13,2,8,12,3,4,12,11,11,9,2,3,14,2,7,5,10,14,5,12,15,1,9,18,-32,17,6,-19,27,27,6,13,-13,6,10,2,4,6,12,2,408,4,5,5,1,-113
