day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,2,-14,0,-9,7,8,5,0,-2,12,-3,-2,-2,0,-2,6,-7,-3,-1,0,0,2,-7,-5,13,15,-9,-14,-2,0,11,1,5,-4,1,17,3,6,8,4,10,-1,-3,10,0,-2,0,7,5,4,-1,0,2,-1,11,4,5,7,-5,-1,4,2,2,7,6,-3,1,3,-9,-1,2,-6,-2,1,8,2,4,2,5,-3,1,1,2,2,4,-2,2,-3,1,-3,-1,-4,0,-2,2,5,-2,0,-3,-1,1,1,3,5,7,1,-4,-1,-3,0,10,6,3,3,-1,1,7,3,2,2,8,3,7,3,6,5,-4,-10,-6,0,5,-2,2,3,-4,-5,2,-1,-1,1,-3,1,4,34,5,0,8,-8,4,-7,9
3,-22,-22,-6,3,4,-21,0,-22,8,-21,-16,-3,-8,18,-1,-9,-12,-6,-1,-12,5,-6,-14,11,-14,18,-21,-28,-2,-8,-6,5,-12,-7,13,14,-11,5,-25,-3,1,4,-1,-7,6,4,-21,-15,-5,5,15,-4,-7,3,-15,0,15,-16,2,-15,-10,-9,-1,-11,1,-12,-4,5,6,-7,1,-7,-4,-2,10,3,-2,-3,-2,-10,5,5,-7,9,-3,-4,3,0,-8,-2,2,-5,2,-6,-1,2,-2,1,5,-3,2,6,1,5,4,8,12,16,2,3,-13,-5,1,1,-1,2,8,-6,-18,5,1,4,5,-5,4,-2,-3,7,17,1,5,-19,-10,-4,19,-7,-6,0,5,-9,-18,2,12,16,-15,-8,-12,-38,-34,11,-74
7,-6,-5,8,14,-10,-9,-5,-6,4,-8,1,24,-17,4,0,4,-1,0,-10,3,13,-4,0,-6,-9,5,3,-2,0,-5,13,-14,-1,-10,-15,-8,6,3,-41,-8,12,-4,24,-3,0,0,-22,6,0,-37,7,-8,1,-4,-3,14,-13,25,-2,-3,2,4,7,-9,-27,4,7,-1,5,-6,2,-6,1,-7,7,8,3,-3,-7,2,10,0,-16,-19,-19,-3,2,5,5,6,4,12,1,-1,-1,-27,-1,0,-9,-18,0,0,7,-1,5,-4,5,-15,5,6,6,10,-4,-9,17,-1,6,11,9,4,-5,17,-10,4,0,10,5,8,29,7,11,-2,23,20,13,-4,9,1,7,17,10,6,-7,-23,-3,3,-6,-13,-2,33,16
10,-30,0,-12,8,-5,-5,-11,0,3,-5,5,-23,18,1,19,-24,-1,12,32,-2,4,5,2,7,-1,-7,19,-6,-9,-2,-21,5,2,0,18,-2,0,-9,-34,4,6,-7,-23,-5,-2,-3,-1,-20,4,-3,-4,-12,-1,4,4,-6,-20,-10,-5,-1,-3,-4,-7,-11,-2,-3,2,-1,-1,-6,-5,6,-5,-2,-21,-3,1,-7,0,-7,-5,-3,-13,0,2,-1,-1,-7,-1,-2,3,0,5,-6,0,-23,-1,-1,-2,-19,0,2,2,5,19,24,-6,-6,-3,-2,1,-4,-11,-2,4,23,-1,9,5,1,0,35,4,3,3,-2,3,18,11,5,7,6,8,15,12,-2,3,9,3,-1,-3,-1,0,-6,0,-6,-13,-5,1,15,0
14,26,1,0,0,0,0,0,1,2,0,3,4,1,1,0,0,12,-3,-19,4,2,0,0,1,2,0,-19,1,1,2,1,29,1,26,1,0,2,0,1,0,0,0,2,0,1,0,1,1,0,-53,2,1,2,1,0,0,0,8,2,0,0,0,2,1,2,0,1,0,0,2,0,2,0,0,-19,0,0,0,0,1,1,1,1,2,-33,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,8,-15,2,-19,0,6,9,6,6,9,0,0,1,-5,-18,0,6,8,-18,0,-15,8,8,0,0,-18,20,14,2,19,6,20,24,9,-19,31,10,0,1,-18,2,7,1,5,0,6,3,3,5
17,-2,-1,0,0,0,0,62,-1,-1,0,-2,-4,-1,0,0,-48,1,-2,-2,-1,-2,0,0,-1,29,0,-2,-1,0,-2,30,-1,-1,-26,-1,0,-2,0,-1,0,0,0,-2,0,-1,0,-1,-1,0,-1,-2,-1,-2,0,0,1,0,-8,-1,0,0,0,-2,-1,-1,0,-1,1,0,-2,0,-2,8,1,-1,1,0,0,0,0,-1,-1,-1,-2,0,2,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,-1,0,-1,5,-18,-2,-15,0,-1,7,5,-1,3,1,0,0,1,-20,0,8,5,-14,-15,-19,12,4,6,4,-20,26,13,-2,16,-3,19,24,6,0,14,1,0,2,0,-1,-7,-1,-5,1,-4,-3,-2,-3
21,1,36,4,4,2,71,1,16,4,1,0,2,22,12,3,0,25,29,4,26,0,37,4,103,2,74,4,1,43,2,4,71,1,4,0,3,5,2,1,2,1,1,0,0,1,0,2,4,1,0,2,1,0,3,6,2,0,8,0,1,0,1,1,0,3,0,0,2,4,2,1,2,5,3,1,0,0,1,0,0,1,1,0,2,5,2,0,0,1,3,3,1,0,0,1,0,0,0,1,1,3,1,6,6,3,8,2,9,6,3,2,2,8,3,0,6,5,4,9,5,7,-11,6,7,2,8,7,3,43,-7,5,23,4,9,48,6,0,17,10,9,3,7,1,8,3,17,8,12,4,4,10
24,-1,-1,-4,-4,-2,-36,-32,-1,-4,-1,0,-2,-3,-2,-1,0,0,0,0,0,0,-2,101,-33,-2,-39,-4,104,-7,-2,-38,-36,-1,-3,0,-2,-5,-2,-1,-2,-1,-1,0,0,-1,0,-2,-4,-1,0,-2,-1,0,-3,-6,-2,0,-7,0,-1,0,-1,-1,0,-3,0,0,-2,-38,-2,-1,8,-3,-1,0,0,0,-1,0,0,-1,-1,0,-2,11,-2,0,0,-1,-3,-3,-1,0,4,-1,0,1,2,0,-1,-3,-1,3,0,-2,0,0,4,-5,-2,-1,0,-2,-2,0,-4,1,-4,3,-3,-1,8,0,1,-2,1,-2,0,16,-1,0,16,4,12,-18,4,0,5,-1,-1,3,-1,5,-7,-3,-15,-8,-12,-4,-3,-9
28,14,1,4,3,-1,-4,-91,129,1,5,5,21,9,11,23,1,22,29,35,26,2,1,-30,-30,1,-3,2,-32,0,12,-71,-66,0,2,2,-2,2,1,-1,0,2,-1,2,1,1,3,3,2,4,2,1,0,2,1,-4,4,3,8,3,0,1,1,1,0,-2,3,1,0,2,0,-1,7,3,2,0,-2,0,0,0,2,1,1,-1,3,-2,4,0,2,1,1,1,3,0,7,2,-3,1,5,10,1,-1,1,5,1,7,1,2,4,4,1,10,8,-1,3,3,12,6,0,7,-1,0,4,8,4,3,11,5,12,32,3,0,20,19,14,16,8,4,24,8,3,1,5,12,4,9,9,0,9,2,11,269
31,-4,-6,4,-5,4,-120,-4,-12,-21,-5,-5,-10,4,-4,1,-12,-3,0,-3,-1,8,-6,-94,-99,6,-118,2,2,-10,-15,-5,-2,-3,-4,15,-11,7,5,-5,-4,1,0,-8,5,1,4,-1,6,1,1,2,9,6,-4,-3,-6,0,-28,3,-2,1,2,-3,-9,2,5,-5,2,9,-3,-14,6,-2,5,12,10,2,4,6,0,1,-5,-10,8,1,1,-6,11,-11,3,1,2,-1,2,2,-2,3,4,12,6,-2,1,5,3,7,-13,13,8,-6,11,6,2,7,5,5,1,-8,1,-5,3,2,-6,8,12,3,2,-2,-4,21,-38,-5,15,-40,58,12,-9,4,-30,8,1,7,4,-6,-9,-19,-58,-17,-38,-13,-13,-6
