day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,23,8,24,22,28,31,26,23,25,25,19,13,6,13,13,7,3,7,5,7,31,24,24,18,27,34,17,7,23,19,26,26,24,28,24,14,24,21,20,21,16,16,16,16,10,20,23,36,23,14,29,14,23,22,16,22,15,118,5,11,12,17,8,16,23,16,15,7,27,7,14,15,9,14,12,17,0,9,6,13,12,12,15,11,9,12,12,13,8,10,12,8,2,10,3,13,5,3,10,7,12,11,12,11,5,14,11,12,10,11,11,15,17,18,11,16,18,12,14,10,12,8,11,18,14,3,14,16,18,24,20,33,26,22,13,13,16,19,10,15,20,19,19,97,45,112,32,117,33,33,99
3,14,8,23,35,28,22,23,15,20,14,16,11,10,18,16,9,7,7,10,7,29,28,21,28,27,29,18,7,32,28,29,37,24,22,34,13,18,16,19,20,23,22,19,14,15,23,-4,32,24,23,12,18,24,21,15,24,23,113,12,13,7,21,13,18,34,8,9,14,22,7,15,9,12,18,10,9,4,15,6,0,10,13,18,10,15,9,11,9,7,12,14,12,4,11,2,12,5,3,11,7,13,7,19,13,16,15,13,19,15,13,12,10,16,9,17,14,13,14,9,16,17,17,13,14,14,18,13,13,23,31,24,23,29,41,35,13,11,36,10,12,7,16,11,88,26,95,36,94,27,24,96
7,22,22,19,26,24,25,17,16,24,24,22,11,-8,13,11,12,12,12,10,7,17,23,27,24,27,25,24,19,27,27,36,18,23,13,13,12,15,18,-10,12,15,9,26,16,12,19,-5,27,18,-10,25,21,20,13,13,14,-2,102,14,10,17,17,5,18,8,8,13,11,30,4,11,9,11,5,11,11,4,10,1,12,8,13,-6,-4,-8,14,10,10,10,12,14,9,4,12,4,-11,2,4,14,-6,14,15,14,15,12,4,14,12,17,16,15,14,7,9,17,13,15,16,19,16,14,17,8,15,13,17,13,15,23,27,24,32,19,26,20,13,20,29,20,19,22,14,11,83,21,112,32,85,36,31,102
10,1,28,22,30,40,28,13,22,30,22,25,-9,16,20,21,-7,10,14,19,13,38,31,18,35,27,27,27,17,28,28,15,19,30,30,30,12,19,13,-9,22,21,22,10,16,16,29,20,37,22,16,29,13,20,21,25,25,22,139,20,18,15,22,19,24,28,20,12,15,34,4,8,8,12,9,1,28,4,9,7,6,6,17,3,13,9,8,11,10,16,14,9,13,4,13,6,-3,1,6,12,-6,14,12,16,12,21,17,21,19,18,17,21,13,4,8,17,10,14,17,16,16,17,15,17,18,13,9,18,6,36,25,14,18,23,24,36,12,17,28,11,12,21,19,17,110,31,98,19,79,20,28,111
14,22,21,44,26,19,29,23,19,19,26,21,11,15,13,19,12,8,3,-5,13,41,33,24,17,34,22,0,17,22,24,24,27,24,29,26,29,23,13,18,33,19,28,26,8,14,19,21,36,15,-31,25,22,22,16,23,23,15,94,13,14,17,26,17,11,29,8,8,14,34,11,20,7,9,9,1,19,4,19,8,9,12,18,15,18,-25,6,17,12,11,11,16,15,4,13,3,16,3,1,9,15,7,12,11,-3,28,-4,38,19,7,15,20,14,14,20,12,11,1,11,14,11,-3,10,6,10,10,11,14,-8,25,20,29,22,39,32,18,14,0,20,13,16,14,0,19,95,33,89,30,101,42,41,98
17,33,37,38,26,14,25,21,24,26,31,27,24,12,11,30,-31,15,17,16,17,39,29,28,28,31,26,31,28,34,25,32,30,23,0,31,29,18,13,20,19,21,14,18,21,26,26,17,46,24,23,33,14,12,5,17,26,21,132,16,18,22,30,17,16,24,13,17,19,32,15,18,11,7,10,17,18,4,10,11,12,12,14,16,15,12,10,12,17,9,14,9,15,6,12,4,16,6,9,8,13,7,14,20,2,18,1,29,12,22,19,17,26,15,17,4,18,-5,5,16,14,1,-1,-3,12,24,11,13,0,27,28,22,12,32,38,26,24,19,22,16,15,19,12,19,85,36,82,27,106,35,21,101
21,21,22,31,14,28,24,19,9,36,17,18,8,14,9,11,10,12,3,10,8,29,46,25,27,18,15,37,15,56,17,23,25,31,41,23,29,39,26,24,19,34,17,19,21,10,15,19,50,17,18,25,20,17,25,18,17,21,96,13,7,12,18,20,24,30,17,13,12,35,15,13,10,14,15,13,19,1,13,9,17,13,16,11,18,9,20,14,14,14,15,17,13,3,9,2,14,7,6,12,16,15,12,13,17,19,15,17,12,19,22,21,13,23,19,20,22,15,19,14,31,12,-4,16,20,21,17,21,18,22,18,19,17,18,25,27,11,12,25,14,18,9,18,18,91,30,92,33,144,32,41,83
24,18,26,27,37,27,-5,-16,18,44,27,25,23,26,22,20,15,18,18,12,19,24,45,26,-2,30,-10,33,22,64,32,-6,-2,24,20,21,29,37,27,30,22,50,26,19,23,12,5,16,45,17,25,33,28,23,22,25,16,18,137,23,13,11,35,33,13,29,17,14,22,1,15,8,6,22,18,14,19,6,10,11,16,13,14,4,9,12,12,14,16,12,18,20,17,4,14,5,23,5,1,12,10,18,8,16,17,18,19,14,26,16,17,16,18,20,17,14,11,14,23,19,27,17,23,11,18,20,17,21,15,28,22,7,18,24,43,20,15,16,22,21,18,30,15,16,109,32,86,34,144,38,32,95
28,27,9,23,21,25,26,-64,31,27,24,26,5,12,13,15,11,13,8,5,8,29,19,-7,-9,25,22,15,-8,18,18,-53,-46,27,19,28,29,19,21,19,12,11,14,16,16,7,20,27,33,25,17,23,14,20,12,15,16,15,90,13,9,11,19,11,13,19,8,14,13,28,18,12,9,10,16,23,15,2,11,12,10,21,6,8,8,14,8,13,25,16,7,11,9,1,9,3,11,4,1,4,12,9,16,20,31,13,14,14,10,16,11,12,12,13,15,14,17,22,14,10,12,20,17,14,12,13,11,12,16,23,33,22,28,24,22,31,9,8,28,13,13,10,18,11,118,49,104,38,114,31,31,97
31,22,20,33,25,23,-83,20,26,19,21,19,9,11,11,17,9,4,14,13,12,28,27,-75,-80,27,-81,24,20,25,21,24,22,20,28,25,17,13,26,21,17,20,22,14,18,15,23,16,30,30,19,30,13,15,24,22,25,19,98,12,10,11,19,9,14,25,10,6,11,29,10,7,12,13,21,8,8,4,14,7,15,9,12,11,9,17,15,15,11,8,11,11,7,3,14,4,20,4,2,7,10,11,8,10,18,15,14,16,10,16,16,20,16,11,11,13,16,14,12,17,16,16,17,7,13,13,14,16,11,28,-5,25,19,-9,28,28,5,16,-14,13,14,16,9,21,93,40,74,15,82,23,26,102
